Rank,Player,Position,Team,ADP
47,Jaylen Waddle,WR,DEN,56.7
48,Rome Odunze,WR,CHI,64.4
49,Colston Loveland,TE,CHI,45.0
50,Tyler Warren,TE,IND,50.3
51,Jameson Williams,WR,DET,67.2
52,DJ Moore,WR,BUF,62.7
53,Luther Burden III,WR,CHI,76.8
54,Carnell Tate,WR,TEN,78.1
55,Jayden Daniels,QB,WAS,50.9
56,Lamar Jackson,QB,BAL,38.6
57,Drake Maye,QB,NE,47.4
58,Jalen Hurts,QB,PHI,51.3
59,Bhayshul Tuten,RB,JAX,72.7
