ds_rank	player	team	pos_rank	cbs_adp	consensus_adp	sleeper_adp
249	K. Allen	IND	WR60	183	176	199
251	W. Reichard	MIN	K11	201	212	169
252	L. Chargers	LAC	DEF10	166	180	167
253	J. Jaguars	JAC	DEF11	172	177	156
257	T. Smack	GB	K12	N/A	237	195
258	N. Harris	NYG	RB56	N/A	245	222
259	I. Pacheco	DET	RB57	162	164	190
260	B. Allen	NYJ	RB58	177	197	203
262	K. Chiefs	KC	DEF12	203	N/A	231
265	D. Lions	DET	DEF13	179	203	157
266	W. Lutz	DEN	K13	212	286	N/A
267	J. Conner	ARI	RB59	214	266	249
271	H. Butker	KC	K14	186	187	161
273	H. Henry	NE	TE18	159	158	140
274	T. Tucker	LVR	WR61	161	168	201
275	N. Singleton	TEN	RB60	N/A	254	212
276	B. Bills	BUF	DEF14	193	N/A	217
277	N. Giants	NYG	DEF15	N/A	N/A	278
280	T. Loop	BAL	K15	208	185	177
282	A. Mitchell	NYJ	WR62	N/A	224	253
283	G. Holani	SEA	RB61	N/A	243	N/A
284	T. Bigsby	PHI	RB62	163	167	178
287	K. Black	SF	RB63	170	186	194
289	K. Allen	WAS	RB64	N/A	272	282
290	S. Tucker	TB	RB65	N/A	269	N/A
291	A. Borregales	NE	K16	214	230	174
293	K. Vidal	LAC	RB66	N/A	258	273
295	D. Schultz	HOU	TE19	157	189	181
297	K. Miller	NO	RB67	N/A	N/A	230
298	L. Allen	JAC	RB68	N/A	145	N/A
299	C. Boswell	PIT	K17	N/A	209	144
300	T. Johnson	BUF	RB69	N/A	268	N/A
301	R. Davis	BUF	RB70	N/A	218	226
303	G. Packers	GB	DEF16	206	296	204
304	C. Bears	CHI	DEF17	211	N/A	224
308	C. McLaughlin	TB	K18	209	253	223
309	C. Browns	CLE	DEF18	202	277	N/A
311	T. Buccaneers	TB	DEF19	N/A	N/A	257
312	K. Sadiq	NYJ	TE20	188	181	172
313	C. Okonkwo	WAS	TE21	192	199	191
315	C. Ridley	TEN	WR63	196	244	N/A
316	O. Cooper Jr.	NYJ	WR64	N/A	214	193
317	T. Ferguson	LAR	TE22	N/A	192	206
318	J. Jeudy	CLE	WR65	175	182	185
319	J. Elliott	PHI	K19	N/A	274	220
320	T. Hockenson	MIN	TE23	197	175	164
321	J. Nailor	LVR	WR66	213	183	182
324	S. 49ers	SF	DEF20	N/A	256	215
327	B. Smith	KC	RB71	N/A	N/A	233
329	J. Wright	MIA	RB72	N/A	287	N/A
334	J. Jennings	MIN	WR67	211	193	213
343	K. Johnson	GB	RB73	N/A	N/A	216
344	I. Colts	IND	DEF21	N/A	N/A	219
345	D. Claiborne	MIN	RB74	N/A	235	N/A
347	P. Bryant	DEN	WR68	N/A	276	235
350	J. James	SF	RB75	210	259	N/A
356	J. Noel	HOU	WR69	N/A	202	214
362	C. Bengals	CIN	DEF22	N/A	N/A	293
364	K. Boutte	HOU	WR70	191	200	197
365	C. Otton	TB	TE24	195	279	260
366	D. Carlson	NO	K20	N/A	295	N/A
368	N. Jets	NYJ	DEF23	N/A	294	N/A
371	S. Vaki	DET	RB76	N/A	239	N/A
372	N. Saints	NO	DEF24	189	N/A	N/A
374	M. Penix Jr.	ATL	QB31	N/A	300	239
375	D. Cowboys	DAL	DEF25	194	223	200
378	D. Wicks	PHI	WR71	N/A	210	N/A
379	D. Vele	NO	WR72	N/A	226	284
382	A. Barner	SEA	TE25	200	225	183
383	D. Laube	LVR	RB77	N/A	297	N/A
384	S. Shrader	IND	K21	181	N/A	N/A
385	T. Harris	LAC	WR73	N/A	242	250
390	R. Bateman	BAL	WR74	N/A	285	258
396	R. Flournoy	DAL	WR75	N/A	252	251
398	J. Lane	BAL	WR76	167	190	160
399	N. Folk	ATL	K22	200	N/A	N/A
400	E. Heidenreich	PIT	WR78	N/A	221	N/A
404	J. Blue	PHI	RB79	N/A	260	241
405	C. Douglas	MIA	WR77	205	231	196
406	A. Estime	NO	RB80	N/A	N/A	272
408	A. Falcons	ATL	DEF26	174	N/A	240
409	C. Panthers	CAR	DEF27	N/A	228	277
411	P. Freiermuth	PIT	TE26	N/A	284	285
416	C. Ryland	ARI	K23	N/A	270	N/A
418	G. Bernard	PIT	WR78	N/A	N/A	248
