Format:,ppr
Teams:,12
Rounds:,15
Total drafts:,7726
Start date:,2026-08-18
End date:,2026-08-25

ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
8.02,85.9,Josh Downs,WR,IND,1009,8.3,64,107,13
8.04,87.7,Jakobi Meyers,WR,JAX,386,7.1,69,104,7
8.04,88.0,Brock Purdy,QB,SF,269,12.1,56,120,8
8.04,88.1,Denver Defense,DEF,DEN,395,7.5,71,109,10
8.04,88.1,RJ Harvey,RB,DEN,637,12.6,55,120,10
8.05,88.5,J.K. Dobbins,RB,DEN,911,10.2,61,120,10
8.07,90.6,Caleb Williams,QB,CHI,1241,12.1,58,121,10
8.07,91.2,Trevor Lawrence,QB,JAX,1057,12.4,58,126,7
8.07,91.2,Stefon Diggs,WR,WAS,1230,8.8,68,112,7
8.08,91.5,Kenny Gainwell,RB,TB,705,10.2,64,120,10
8.11,95.0,Jayden Reed,WR,GB,590,8.4,73,120,11
8.12,96.3,Quentin Johnston,WR,LAC,842,9.1,72,119,7
9.01,97.4,Jordan Addison,WR,MIN,592,8.7,74,119,6
9.01,97.5,Jonathon Brooks,RB,CAR,2379,14.2,60,141,5
9.02,98.4,Houston Defense,DEF,HOU,848,9.3,74,124,8
9.04,99.8,Jared Goff,QB,DET,653,12.8,66,129,6
9.04,100.4,Tucker Kraft,TE,GB,1448,19.7,49,153,11
9.05,101.0,Dallas Goedert,TE,PHI,314,20.7,47,150,10
9.06,101.8,Aaron Jones Sr.,RB,MIN,481,12.4,69,141,6
9.06,101.8,Khalil Shakir,WR,BUF,348,8.5,79,127,7
9.06,102.1,Keon Coleman,WR,BUF,9,47.9,1,177,7
9.07,102.7,Patrick Mahomes,QB,KC,884,12.4,70,132,5
9.10,105.6,Xavier Worthy,WR,KC,569,8.0,84,122,5
9.10,105.9,Justin Herbert,QB,LAC,1448,14.1,69,140,7
9.10,106.2,Matthew Golden,WR,GB,826,8.9,82,127,11
9.11,106.7,Travis Kelce,TE,KC,340,20.8,52,150,5
9.11,106.7,Sam LaPorta,TE,DET,911,23.3,46,166,6
10.01,108.7,Kyle Monangai,RB,CHI,599,12.8,75,147,10
10.01,109.1,LA Rams Defense,DEF,LAR,672,11.1,80,158,11
10.01,109.4,Minnesota Defense,DEF,MIN,88,9.6,90,139,6
10.02,109.7,Deebo Samuel Sr.,WR,SF,637,10.6,82,142,8
10.03,111.2,Rachaad White,RB,WAS,605,13.8,75,148,7
10.04,111.9,Bo Nix,QB,DEN,756,13.4,77,142,10
10.06,114.3,Romeo Doubs,WR,NE,566,9.5,89,142,11
10.08,115.6,Jacory Croskey-Merritt,RB,WAS,1182,14.8,77,150,7
10.08,115.6,Makai Lemon,WR,PHI,863,10.7,87,147,10
10.08,116.4,Jaxson Dart,QB,NYG,463,11.9,85,140,8
10.09,116.7,George Kittle,TE,SF,897,19.7,65,160,8
10.09,117.4,Jordan Mason,RB,MIN,1649,16.0,75,150,6
11.01,120.9,KC Concepcion,WR,CLE,1314,10.8,92,148,11
11.01,121.4,Blake Corum,RB,LAR,1536,17.2,76,150,11
